time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
316800,1056,1259,251,0.026130729999999987,300.0,0.4082415094339623,0.0035252594389021397,2767,0.0001
318000,1060,1261,251,0.020118210000000046,300.0,0.4059999999999999,0.002261330606415868,2779,0.0001
319200,1064,1264,252,-0.04905799999999994,300.0,0.40375849056603796,0.00678256107494235,2791,0.0001
320400,1068,1266,253,-0.15596321999999999,300.0,0.40151698113207546,0.007668999955058098,2803,0.0001
321600,1072,1268,253,-0.13509483999999994,300.0,0.39927547169811306,0.0021990477107465267,2815,0.0001
322800,1076,1270,253,-0.1385552399999999,300.0,0.397033962264151,0.003510901238769293,2827,0.0001
324000,1080,1273,254,-0.23890315999999998,300.0,0.3947924528301886,0.00585590023547411,2839,0.0001
325200,1084,1274,255,-0.29072848,300.0,0.39255094339622654,0.0036757749039679766,2851,0.0001
326400,1088,1277,255,-0.21548975000000004,300.0,0.39030943396226414,0.009940354153513908,2863,0.0001
327600,1092,1279,256,-0.22383902,300.0,0.3880679245283021,0.004591997247189283,2875,0.0001
328800,1096,1281,256,-0.17878903000000004,300.0,0.3858264150943397,0.002845602575689554,2887,0.0001
330000,1100,1283,257,-0.17222460000000006,300.0,0.3835849056603773,0.007875913754105568,2899,0.0001
331200,1104,1285,257,-0.16400003000000002,300.0,0.3813433962264152,0.0031634352635592222,2911,0.0001
332400,1108,1286,258,-0.16083118000000007,300.0,0.3791018867924528,0.003436172613874078,2923,0.0001
333600,1112,1288,258,-0.06579343000000006,300.0,0.37686037735849043,0.007621164433658123,2935,0.0001
334800,1116,1290,259,-0.07169170999999999,300.0,0.37461886792452836,0.0030596095602959394,2947,0.0001
336000,1120,1292,259,-0.2076671199999999,300.0,0.37237735849056597,0.0063598197884857655,2959,0.0001
337200,1124,1294,260,-0.21255715999999988,300.0,0.3701358490566039,0.0057415347546339035,2971,0.0001
338400,1128,1296,261,-0.1553564399999999,300.0,0.3678943396226415,0.010280607268214226,2983,0.0001
339600,1132,1298,261,-0.2095097599999999,300.0,0.36565283018867945,0.0024832100607454777,2995,0.0001
340800,1136,1300,262,-0.08403085999999999,300.0,0.36341132075471705,0.003045125864446163,3007,0.0001
