time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates
363,300.0,122,249856,687,0.23554083000000006,0.191943359375,-1.1287986919283868,0.022149973,-0.03953167616564315,0.2,0.26014602184295654,0.0003,0.47816202766261995,-0.09216010570526123,1210
365,300.0,123,251904,689,-0.12922347999999986,0.20634765625,-1.1403673991560936,0.020337451,-0.040069596320972775,0.2,-0.013454508036375046,0.0003,0.13773996385280043,-0.05558121204376221,1220
367,300.0,124,253952,691,0.08616161000000008,0.2111328125,-1.1643644355237484,0.019953193,-0.03888085218495689,0.2,0.06967904418706894,0.0003,0.23035643431358038,0.06441885232925415,1230
369,300.0,125,256000,693,-0.010391869999999965,0.183251953125,-1.1245380491018295,0.01917807,-0.03901521655207034,0.2,0.07475993037223816,0.0003,0.3412100302055478,0.08944076299667358,1240
371,300.0,126,258048,694,0.32967218000000004,0.201171875,-1.1370138645172119,0.021213442,-0.039720651649986394,0.2,0.21775004267692566,0.0003,0.5665100487880409,0.1295652985572815,1250
373,300.0,127,260096,696,0.04228897000000004,0.185009765625,-1.1034375218674541,0.021811917,-0.03534828567353543,0.2,0.104734405875206,0.0003,0.3662565242964774,0.18674808740615845,1260
375,300.0,128,262144,698,0.002286270000000137,0.20634765625,-1.1318283189088105,0.022182617,-0.03528555351658724,0.2,0.07523137331008911,0.0003,0.298526778514497,-0.07550668716430664,1270
377,300.0,129,264192,700,-0.3323555300000001,0.18232421875,-1.1043164175003768,0.021535365,-0.03611312013817951,0.2,0.19031141698360443,0.0003,0.4867261722218245,-0.05978119373321533,1280
379,300.0,130,266240,701,-0.005680369999999977,0.2185546875,-1.1003767304122447,0.024842225,-0.04066348732449114,0.2,0.03991159796714783,0.0003,0.21475139437243343,0.13734501600265503,1290
381,300.0,131,268288,703,-0.014380759999999916,0.206640625,-1.0857598481699824,0.022848269,-0.040890483562543524,0.2,0.04501977562904358,0.0003,0.22468264298513532,-0.010175943374633789,1300
383,300.0,132,270336,704,0.66610217,0.1984375,-1.0772638190537691,0.019091982,-0.03883968969603302,0.2,0.07367511838674545,0.0003,0.33877041125670077,0.05375063419342041,1310
387,300.0,133,272384,703,0.46285723999999995,0.1849609375,-1.0876044305041432,0.01940405,-0.03770562596619129,0.2,0.15337885916233063,0.0003,0.6068594735115767,0.10718369483947754,1320
389,300.0,134,274432,704,0.4906196,0.21923828125,-1.0777166571468115,0.02322685,-0.041837407455022915,0.2,0.10850066691637039,0.0003,0.5070259032770992,-0.058588624000549316,1330
392,300.0,135,276480,704,0.2772223499999998,0.19482421875,-1.04983449857682,0.019710973,-0.03739380958722904,0.2,0.00951186940073967,0.0003,0.24437891175039111,0.05956697463989258,1340
394,300.0,136,278528,705,0.2629108299999998,0.2181640625,-1.0403170945122837,0.024310527,-0.038091549216187556,0.2,0.00717569887638092,0.0003,0.16945700522046536,-0.08098304271697998,1350
